"파워링크보고서(2024.12.01.~2024.12.31.),canofix-man:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수(네이버페이),전환매출액(네이버페이)
"파워링크",djcanofix.kr,3 충북,옥상비가림,PC,6,0,0,0,3,0,0,0,0
"파워링크",djcanofix.kr,3 충북,옥상비가림,모바일,8,0,0,0,2.6,0,0,0,0
"파워링크",djcanofix.kr,3 충북,음성캐노피,모바일,2,0,0,0,3,0,0,0,0
"파워링크",djcanofix.kr,3 충북,제천캐노피,PC,1,1,"2,970","2,970",1,0,0,0,0
"파워링크",djcanofix.kr,3 충북,제천캐노피,모바일,3,0,0,0,1,0,0,0,0
"파워링크",djcanofix.kr,3 충북,제천캐노피공사,모바일,2,0,0,0,3,0,0,0,0
"파워링크",djcanofix.kr,3 충북,제천캐노피시공,모바일,1,0,0,0,3,0,0,0,0
"파워링크",djcanofix.kr,3 충북,진천캐노피,모바일,1,0,0,0,4,0,0,0,0
"파워링크",djcanofix.kr,3 충북,진천폴리카보네이트,모바일,2,0,0,0,3,0,0,0,0
"파워링크",djcanofix.kr,3 충북,청주렉산,모바일,3,0,0,0,6,0,0,0,0
"파워링크",djcanofix.kr,3 충북,청주렉산캐노피,PC,1,0,0,0,3,0,0,0,0
"파워링크",djcanofix.kr,3 충북,청주렉산캐노피,모바일,1,0,0,0,2,0,0,0,0
"파워링크",djcanofix.kr,3 충북,청주복층렉산,모바일,1,0,0,0,3,0,0,0,0
"파워링크",djcanofix.kr,3 충북,청주비가림막,모바일,3,0,0,0,2.3,0,0,0,0
"파워링크",djcanofix.kr,3 충북,청주전원주택캐노피,PC,1,0,0,0,3,0,0,0,0
"파워링크",djcanofix.kr,3 충북,청주전원주택캐노피,모바일,1,0,0,0,2,0,0,0,0
"파워링크",djcanofix.kr,3 충북,청주캐노피,PC,5,0,0,0,1.4,0,0,0,0
"파워링크",djcanofix.kr,3 충북,청주캐노피,모바일,22,1,"2,706","2,706",2.3,0,0,0,0
"파워링크",djcanofix.kr,3 충북,청주캐노피공사,PC,1,0,0,0,1,0,0,0,0
"파워링크",djcanofix.kr,3 충북,청주캐노피공사,모바일,1,0,0,0,2,0,0,0,0
"파워링크",djcanofix.kr,3 충북,청주캐노픽스,모바일,1,0,0,0,3,0,0,0,0
"파워링크",djcanofix.kr,3 충북,청주폴리카보네이트,PC,10,0,0,0,1.9,0,0,0,0
"파워링크",djcanofix.kr,3 충북,청주폴리카보네이트,모바일,3,0,0,0,2.7,0,0,0,0
"파워링크",djcanofix.kr,3 충북,충주지붕재,PC,1,0,0,0,3,0,0,0,0
